Title,Link,Facility,Location,Shift Type,Competition,Department,Type of Employment,Union Status,Closing Date,Pay Grade,Salary Range
Research and Statistical Officer 4 , https://jobs.novascotia.ca/job/HALIFAX-Research-and-Statistical-Officer-4-NS-B3J-1V7/581853217/ ,Justice Location: HALIFAX, NS, CA, B3J 1V7 Shift Type: 26-Jun-24 Additional Data: {'Competition': '43242', 'Department': 'Justice', 'Location': 'HALIFAX', 'Type of Employment': 'Temporary', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '26-Jun-24', 'Pay Grade': 'PR 15', 'Salary Range': 'Salary Range:\xa0 $2,760.42\xa0- $3,364.90\xa0Bi-Weekly'}
Justice Officer - Court Administration (The Law Courts) , https://jobs.novascotia.ca/job/HALIFAX-Justice-Officer-Court-Administration-%28The-Law-Courts%29-NS-B3J-1S7/581855117/ ,Justice Location: HALIFAX, NS, CA, B3J 1S7 Shift Type: 26-Jul-24 Additional Data: {'Competition': '43249', 'Department': 'Justice', 'Location': 'HALIFAX', 'Type of Employment': 'Temporary', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '26-Jul-24', 'Pay Grade': 'CL 21', 'Salary Range': 'Salary Range:\xa0 $1,834.08\xa0- $2,044.45\xa0Bi-Weekly'}
Technical Analyst , https://jobs.novascotia.ca/job/BRIDGEWATER-Technical-Analyst-NS-B4V-3S6/581874617/ ,Cyber Security & Digital Solutions Location: BRIDGEWATER, NS, CA, B4V 3S6 Shift Type: 26-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Competition:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0#43301', 'Location': 'Not found', 'Type of Employment': 'Salary:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0$1,587.24- $2,867.11 Bi-Weekly /\xa0$41,268.24 - $74,544.86 Annually\xa0(PR 1 - PR 11)', 'Union Status': 'Not found', 'Closing Date': 'Position Type:\xa0 \xa0 \xa0 \xa0 Full-Time Permanent (35 hours a week)', 'Pay Grade': ':\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0Paid Holidays, Vacation, Sick/Family Leave, Health, Dental, and Defined Benefits Pension', 'Salary Range': 'Not found'}
Supervisor- Highway Maintenance (Middle Musquodoboit) , https://jobs.novascotia.ca/job/MIDDLE-MUSQUODOBOIT-Supervisor%2C-Highway-Maintenance-%28Middle-Musquodoboit%29-NS-B0N-2H0/581866317/ ,Public Works Location: MIDDLE MUSQUODOBOIT, NS, CA, B0N 2H0 Shift Type: 26-Jun-24 Additional Data: {'Competition': '43279', 'Department': 'Public Works', 'Location': 'MIDDLE MUSQUODOBOIT', 'Type of Employment': 'Temporary', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '26-Jun-24', 'Pay Grade': 'TE 22', 'Salary Range': 'Salary Range:\xa0 $2,189.32\xa0- $2,574.66\xa0Bi-Weekly'}
Project Executive , https://jobs.novascotia.ca/job/HALIFAX-Project-Executive-NS-B3J-2R8/581886217/ ,Health and Wellness Location: HALIFAX, NS, CA, B3J 2R8 Shift Type: 04-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Health and Wellness', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa004-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 14'}
Division Crewperson (Summer Works Period) (Bible Hill and Tatamagouche) , https://jobs.novascotia.ca/job/TATAMAGOUCHE-Division-Crewperson-%28Summer-Works-Period%29-%28Bible-Hill-and-Tatamagouche%29-NS-B2N-4L7/581848417/ ,Public Works Location: TATAMAGOUCHE, NS, CA, B2N 4L7 Shift Type: 03-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:', 'Type of Employment': 'Zone:\xa014 and 15', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Manager- Rural Sites Nova Scotia Museum , https://jobs.novascotia.ca/job/HALIFAX-Manager%2C-Rural-Sites-Nova-Scotia-Museum-NS-B3H3A6/581749717/ ,Communities, Culture, Tourism & Heritage Location: HALIFAX, NS, CA, B3H3A6 Shift Type: 01-Jul-24 Additional Data: {'Competition': '43066', 'Department': 'Communities, Culture, Tourism & Heritage', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'Exclusion - Non Union - NSPG', 'Closing Date': '01-Jul-24', 'Pay Grade': 'EC 12', 'Salary Range': 'Salary Range:\xa0 $3,351.92\xa0- $4,608.93\xa0Bi-Weekly'}
Emergency Management Preparedness Officer, Cape Breton , https://jobs.novascotia.ca/job/SYDNEY-Emergency-Management-Preparedness-Officer%2C-Cape-Breton-NS-B1P-7B9/581715817/ ,Municipal Affairs and Housing Location: SYDNEY, NS, CA, B1P 7B9 Shift Type: 05-Jul-24 Additional Data: {'Competition': '43228', 'Department': 'Municipal Affairs and Housing', 'Location': 'SYDNEY', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '05-Jul-24', 'Pay Grade': 'PR 15', 'Salary Range': 'Salary Range:\xa0 $2,760.42\xa0- $3,364.90\xa0Bi-Weekly'}
Caseworker 1-2 (Employment Support Services & Income Assistance) , https://jobs.novascotia.ca/job/DIGBY-Caseworker-1-2-%28Employment-Support-Services-&-Income-Assistance%29-NS-B0V-1A0/581716317/ ,Community Services Location: DIGBY, NS, CA, B0V 1A0 Shift Type: 05-Jul-24 Additional Data: {'Competition': '43209', 'Department': 'Community Services', 'Location': 'DIGBY', 'Type of Employment': 'Permanent', 'Union Status': 'Not found', 'Closing Date': '05-Jul-24', 'Pay Grade': 'PR 04\xa0- PR 11', 'Salary Range': 'Salary Range:\xa0 $1,773.75\xa0- $2,867.11\xa0Bi-Weekly'}
Junior Biologist- Integrated Resource Management (Biologist 1(A)-2(B)) , https://jobs.novascotia.ca/job/LUNENBURG-Junior-Biologist%2C-Integrated-Resource-Management-%28Biologist-1%28A%29-2%28B%29%29-NS-B0J-2C0/581694017/ ,Natural Resources & Renewables Location: LUNENBURG, NS, CA, B0J 2C0 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43166', 'Department': 'Natural Resources & Renewables', 'Location': 'LUNENBURG', 'Type of Employment': 'Term', 'Union Status': 'Not found', 'Closing Date': '27-Jun-24', 'Pay Grade': 'PR 05\xa0- PR 12', 'Salary Range': 'Salary Range:\xa0 $1,844.97\xa0- $2,982.67\xa0Bi-Weekly'}
Boiler and Pressure Equipment (Inspector Specialist 3) , https://jobs.novascotia.ca/job/DARTMOUTH-Boiler-and-Pressure-Equipment-%28Inspector-Specialist-3%29-NS-B3B-0L3/581688217/ ,Labour, Skills and Immigration Location: DARTMOUTH, NS, CA, B3B 0L3 Shift Type: 27-Jun-24 Additional Data: {'Competition': '43170', 'Department': 'Labour, Skills and Immigration', 'Location': 'DARTMOUTH AND/OR BRIDGEWATER', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '27-Jun-24', 'Pay Grade': 'TE 27', 'Salary Range': 'Salary Range:\xa0 $2,683.02\xa0- $3,116.30\xa0Bi-Weekly\xa0+ 8% market adjustment'}
Technical Safety Officer and Code Design Administrator (Program Admin Officer 4) , https://jobs.novascotia.ca/job/DARTMOUTH-Technical-Safety-Officer-and-Code-Design-Administrator-%28Program-Admin-Officer-4%29-NS-B3B-0L3/581640417/ ,Labour, Skills and Immigration Location: DARTMOUTH, NS, CA, B3B 0L3 Shift Type: 26-Jun-24 Additional Data: {'Competition': '43169', 'Department': 'Labour, Skills and Immigration', 'Location': 'DARTMOUTH', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '26-Jun-24', 'Pay Grade': 'PR 17', 'Salary Range': 'Salary Range:\xa0 $3,107.16\xa0- $3,649.33\xa0Bi-Weekly'}
Species at Risk (Biologist 3) , https://jobs.novascotia.ca/job/KENTVILLE-Species-at-Risk-%28Biologist-3%29-NS-B4N-4E5/581628717/ ,Natural Resources & Renewables Location: KENTVILLE, NS, CA, B4N 4E5 Shift Type: 04-Jul-24 Additional Data: {'Competition': '42978', 'Department': 'Natural Resources & Renewables', 'Location': 'KENTVILLE or CORNWALLIS', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '04-Jul-24', 'Pay Grade': 'PR 15', 'Salary Range': 'Salary Range:\xa0 $2,760.42\xa0- $3,364.90\xa0Bi-Weekly'}
Senior Business Analyst , https://jobs.novascotia.ca/job/HALIFAX-Senior-Business-Analyst-NS-B3J-1M7/581632617/ ,Cyber Security & Digital Solutions Location: HALIFAX, NS, CA, B3J 1M7 Shift Type: 26-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Salary:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0$2,653.85- $3,231.58 Bi-Weekly /\xa0$69,000.10 - $84,021.08 Annually\xa0(PR 14)', 'Type of Employment': 'Not found', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'Not found', 'Salary Range': 'Location:\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 Halifax'}
Community Liaison Coordinator (Designated) , https://jobs.novascotia.ca/job/HALIFAX-Community-Liaison-Coordinator-%28Designated%29-NS-B3J-2R8/581607817/ ,Office of Addictions and Mental Health Location: HALIFAX, NS, CA, B3J 2R8 Shift Type: 26-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Office of Addictions and Mental Health', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa026-Jun-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 11'}
Justice Officer - Metro Provincial Courts (Hiring Pool) , https://jobs.novascotia.ca/job/HALIFAX-Justice-Officer-Metro-Provincial-Courts-%28Hiring-Pool%29-NS-B2Y-4B7/581449217/ ,Justice Location: HALIFAX, NS, CA, B2Y 4B7 Shift Type: 28-Jul-24 Additional Data: {'Competition': '43029', 'Department': 'Justice', 'Location': 'HALIFAX\xa0and DARTMOUTH', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '28-Jul-24', 'Pay Grade': 'CL 21', 'Salary Range': 'Salary Range:\xa0 $1,834.08\xa0- $2,044.45\xa0Bi-Weekly'}
Court Officer - Judicial Metro Provincial Courts (Hiring Pool) , https://jobs.novascotia.ca/job/HALIFAX-Court-Officer-Judicial-Metro-Provincial-Courts-%28Hiring-Pool%29-NS-B2Y-4B7/581448617/ ,Justice Location: HALIFAX, NS, CA, B2Y 4B7 Shift Type: 28-Jul-24 Additional Data: {'Competition': '43030', 'Department': 'Justice', 'Location': 'HALIFAX\xa0and DARTMOUTH', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '28-Jul-24', 'Pay Grade': 'TE 22', 'Salary Range': 'Salary Range:\xa0 $2,189.32\xa0- $2,574.66\xa0Bi-Weekly'}
